Iteration,RMS_px,Parameters
3352,3.980730576910529,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9101717126 -47.9266853487  36.8150153952  48.2759316366
 -42.3825973084]"
3353,3.9802944919159997,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9101842591 -47.9269437798  36.8150298825  48.2759189391
 -42.3825878576]"
3354,3.9801337517754276,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9101911046 -47.9270846637  36.8150377982  48.2759120046
 -42.3825827109]"
3355,3.9797385161028695,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9102026143 -47.9273213167  36.8150511655  48.2759002861
 -42.3825740967]"
3356,3.9794064154676456,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9102110377 -47.9274941032  36.8150610082  48.275891659
 -42.3825678385]"
3357,3.979004787171773,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9102242685 -47.927765083   36.8150765312  48.2758780534
 -42.3825580568]"
3358,3.978720647972774,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9102303108 -47.9278882862  36.815083701   48.2758717687
 -42.3825536526]"
3359,3.978502454498901,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9102317909 -47.9279183369  36.8150854653  48.2758702256
 -42.3825525827]"
3360,3.9781910730898313,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9102380262 -47.9280456716  36.8150928006  48.2758638061
 -42.3825479972]"
3361,3.9780084478727074,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9102436723 -47.9281611626  36.8150994189  48.2758580132
 -42.3825438254]"
3362,3.977559799613023,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9102626058 -47.9285485604  36.8151216099  48.2758385863
 -42.3825298301]"
3363,3.9772179479968104,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9102753583 -47.9288083923  36.8151366798  48.2758254074
 -42.3825205084]"
3364,3.976946111455081,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9102788322 -47.9288794901  36.8151407531  48.2758218408
 -42.3825179406]"
3365,3.976720656910533,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9102812667 -47.9289288849  36.8151436578  48.2758193022
 -42.3825161833]"
3366,3.9764084186482136,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9102884844 -47.9290755953  36.8151522319  48.2758118062
 -42.3825109441]"
3367,3.9759159317786796,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.910303421  -47.9293792097  36.8151699723  48.2757962948
 -42.3825001009]"
3368,3.9755316904635145,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9103169474 -47.9296543684  36.8151860177  48.2757822585
 -42.3824902643]"
3369,3.9752718998431993,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9103256648 -47.9298317279  36.8151963598  48.2757732066
 -42.3824839257]"
3370,3.975050990950081,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9103306276 -47.9299327034  36.8152022558  48.2757680393
 -42.382480323 ]"
3371,3.974419317027077,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9103464756 -47.93025491    36.8152211248  48.2757514982
 -42.3824688497]"
3372,3.9734722459521743,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9103777736 -47.9308904119  36.8152584984  48.2757187361
 -42.3824462805]"
3373,3.9725857156923694,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9104221289 -47.9317910234  36.8153114746  48.2756722931
 -42.3824143021]"
3374,3.972037640158307,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9104264463 -47.931878229   36.8153167066  48.2756676977
 -42.3824112484]"
3375,3.9716514295322303,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9104307582 -47.9319652313  36.8153219597  48.2756630731
 -42.382408219 ]"
3376,3.9713263962302734,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9104369668 -47.9320908383  36.8153294802  48.27565645
 -42.3824038218]"
3377,3.9703778023665386,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9104652027 -47.9326627715  36.8153635868  48.275626413
 -42.3823837475]"
3378,3.969525527248536,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9104940656 -47.9332475992  36.8153984336  48.2755957171
 -42.3823632124]"
3379,3.9689644801779767,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9105029501 -47.9334280017  36.8154091046  48.2755863183
 -42.3823568473]"
3380,3.9687010091094233,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9105088159 -47.9335471376  36.8154161581  48.2755800965
 -42.3823526499]"
3381,3.9684773078200517,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9105141616 -47.9336554912  36.8154226274  48.2755743814
 -42.3823488567]"
3382,3.967625663448626,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9105366454 -47.934110653   36.8154499532  48.2755502116
 -42.3823329922]"
3383,3.966845191232626,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.910555593  -47.9344936122  36.8154731105  48.2755296905
 -42.3823197232]"
3384,3.9662261990231262,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.910567518  -47.934734067   36.8154877709  48.2755166886
 -42.3823114421]"
3385,3.965846633018597,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9105725394 -47.9348346693  36.8154940339  48.2755111229
 -42.3823080311]"
3386,3.9655467578255292,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9105745717 -47.934874947   36.8154966129  48.2755088317
 -42.3823066919]"
3387,3.964851755801173,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9105857749 -47.9350996521  36.8155104388  48.2754966084
 -42.3822989832]"
3388,3.963960196136974,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9106138704 -47.9356644596  36.8155449255  48.2754661468
 -42.3822794953]"
3389,3.9631218667073433,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9106327897 -47.9360451663  36.8155680824  48.2754457085
 -42.3822663194]"
3390,3.96245120284658,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.910651276  -47.9364171861  36.8155906781  48.2754257827
 -42.3822534246]"
3391,3.962047905525962,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.910666495  -47.9367228181  36.8156093304  48.2754093449
 -42.3822428597]"
3392,3.961632355100964,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9106728252 -47.9368493809  36.8156171414  48.2754024658
 -42.3822385156]"
3393,3.9611963707288482,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.910678936  -47.9369703028  36.8156247937  48.2753957394
 -42.3822344304]"
3394,3.9608882461777264,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9106842303 -47.9370750134  36.8156314269  48.2753899092
 -42.3822308953]"
3395,3.9604006593843613,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9107017624 -47.9374219341  36.8156533358  48.2753706719
 -42.3822191491]"
3396,3.959691161332864,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9107079164 -47.9375432521  36.8156610598  48.2753638965
 -42.3822150618]"
3397,3.9592613277889903,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9107127503 -47.9376387459  36.8156670959  48.2753586052
 -42.3822118265]"
3398,3.958903622764437,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9107198676 -47.9377797958  36.8156759554  48.2753508264
 -42.3822070321]"
3399,3.9583617832441687,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9107310139 -47.938000677   36.8156898622  48.275338594
 -42.3821995456]"
3400,3.9574735888131727,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9107635342 -47.9386462659  36.8157303672  48.2753029355
 -42.382177624 ]"
3401,3.95691266496729,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9107761251 -47.9388963107  36.8157460892  48.2752890588
 -42.3821691609]"
3402,3.9566185708698445,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9107770146 -47.9389142347  36.8157472136  48.2752880385
 -42.3821685649]"
3403,3.9564602889255704,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9107781017 -47.938936087   36.8157485889  48.27528679
 -42.3821678398]"
3404,3.956292388545209,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9107823965 -47.939021436   36.8157539803  48.2752820027
 -42.3821649718]"
3405,3.955965165637365,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9107901483 -47.9391754381  36.8157637209  48.2752733468
 -42.382159804 ]"
3406,3.955713067148415,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9108120526 -47.939610061   36.8157912868  48.2752488542
 -42.3821452459]"
3407,3.955141227756487,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.910814166  -47.9396519799  36.8157939574  48.2752464725
 -42.3821438497]"
3408,3.955038035936228,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.910813453  -47.9396376397  36.8157930795  48.2752472497
 -42.3821443427]"
3409,3.954892940960209,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9108152542 -47.939673056   36.8157953846  48.2752451922
 -42.3821431818]"
3410,3.954659774689599,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9108201153 -47.9397689792  36.8158015712  48.2752396762
 -42.382140014 ]"
3411,3.9542071327324217,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9108314503 -47.9399926117  36.815815994   48.275226823
 -42.3821326261]"
3412,3.9536334851999095,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9108498968 -47.9403549084  36.815839569   48.2752058464
 -42.3821207203]"
3413,3.9533671764476432,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9108711889 -47.9407731002  36.8158667549  48.2751816781
 -42.3821069596]"
3414,3.9531135977615577,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9108628158 -47.940608069   36.8158560913  48.2751911777
 -42.3821124056]"
3415,3.9530578459231522,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9108616748 -47.940585231   36.815854653   48.2751924718
 -42.3821131677]"
3416,3.952925505427627,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9108635049 -47.9406200663  36.8158570393  48.2751903884
 -42.3821120502]"
3417,3.952714080788935,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9108698719 -47.9407426141  36.8158652893  48.2751831326
 -42.382108089 ]"
3418,3.9524467302874915,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9108773476 -47.9408875711  36.8158749232  48.2751746271
 -42.3821033717]"
3419,3.952051073145226,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9108940958 -47.9412129065  36.8158964881  48.275155561
 -42.3820927749]"
3420,3.9519301642557076,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9109018488 -47.9413619312  36.8159065582  48.2751466963
 -42.3820879747]"
3421,3.951775503064822,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9109028232 -47.9413810226  36.8159078093  48.2751455812
 -42.3820873513]"
3422,3.951623712796775,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9109044219 -47.9414113504  36.815909916   48.2751437295
 -42.382086394 ]"
3423,3.951392884861995,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9109089376 -47.9414970205  36.8159158582  48.2751385137
 -42.3820836837]"
3424,3.9510416781617956,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9109185021 -47.941679359   36.8159283948  48.2751274884
 -42.3820778839]"
3425,3.9505964389568784,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9109418967 -47.9421294218  36.8159588872  48.2751005257
 -42.3820634652]"
3426,3.950241403204995,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9109516542 -47.9423151229  36.8159717348  48.2750891992
 -42.3820575985]"
3427,3.9501119946716097,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9109486838 -47.9422579035  36.8159678898  48.2750925817
 -42.3820594502]"
3428,3.949863691160386,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9109491353 -47.9422655673  36.8159686004  48.2750919221
 -42.3820592867]"
3429,3.9495691943437206,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9109545204 -47.9423674128  36.8159758073  48.2750855143
 -42.3820561493]"
3430,3.948982028481337,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9109698155 -47.942657669   36.8159961709  48.2750674277
 -42.3820471359]"
3431,3.9484537725110056,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9109992063 -47.9432172058  36.8160351738  48.2750327674
 -42.3820296757]"
3432,3.9476996821071757,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.911014411  -47.9435067557  36.8160553467  48.2750148379
 -42.3820206376]"
3433,3.9473921615281986,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9110220527 -47.943653192   36.8160654069  48.2750058981
 -42.3820160141]"
3434,3.9472022352008707,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9110284492 -47.9437758175  36.8160738492  48.2749983743
 -42.3820121575]"
3435,3.9469983051206174,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9110377628 -47.9439540809  36.8160861622  48.2749874039
 -42.3820065645]"
3436,3.946726646900531,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9110430959 -47.9440558021  36.8160933052  48.2749809869
 -42.3820034365]"
3437,3.9462386810000387,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9110553659 -47.9442888667  36.8161097983  48.27496619
 -42.3819963081]"
3438,3.9460428222252357,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9110594832 -47.944366631   36.8161153946  48.2749611489
 -42.3819939715]"
3439,3.9459098760035256,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9110614596 -47.9444034679  36.8161180951  48.2749587398
 -42.3819928734]"
3440,3.945716983845427,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9110661538 -47.9444916914  36.8161244043  48.2749531472
 -42.3819901713]"
3441,3.9454214276866706,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.911078241  -47.9447196088  36.8161405834  48.2749388089
 -42.3819831461]"
3442,3.945060969456068,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9110914877 -47.9449703435  36.8161582301  48.2749231736
 -42.3819753612]"
3443,3.9445506003668136,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9111152115 -47.9454194122  36.8161898359  48.2748951663
 -42.3819614198]"
3444,3.9443001413154883,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9111362599 -47.9458175152  36.8162178903  48.2748703178
 -42.381949068 ]"
3445,3.9440728901041493,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9111342853 -47.9457796098  36.8162153076  48.2748726031
 -42.3819502763]"
3446,3.9437877696095436,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9111359629 -47.9458098899  36.816217665   48.2748705143
 -42.3819494165]"
3447,3.9433635499315236,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9111462585 -47.946001771   36.8162316163  48.2748581638
 -42.3819436132]"
3448,3.9428360924720387,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.911170296  -47.9464517056  36.816264017   48.2748294898
 -42.3819298903]"
3449,3.9423859023312233,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9111992761 -47.9469946234  36.8163030459  48.2747949456
 -42.3819133093]"
3450,3.9421609621945946,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9111999705 -47.9470083227  36.816303922   48.2747941712
 -42.3819128518]"
3451,3.9419205203318386,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9112055704 -47.9471139916  36.8163113992  48.2747875533
 -42.3819095822]"
3452,3.941645372190685,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9112148322 -47.9472877072  36.8163238587  48.2747765216
 -42.381904268 ]"
3453,3.9410555556618236,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9112356519 -47.9476766675  36.8163520085  48.2747515843
 -42.381892464 ]"
3454,3.940821343266164,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9112478904 -47.9479052257  36.816368573   48.2747369017
 -42.3818855393]"
3455,3.940373085040932,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9112646191 -47.9482166917  36.8163912987  48.2747167529
 -42.3818761589]"
3456,3.940031624588099,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9112754558 -47.9484174772  36.8164061269  48.274703584
 -42.3818701836]"
3457,3.939689088470253,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9112831418 -47.9485587099  36.8164167802  48.2746940887
 -42.3818660731]"
3458,3.939365396664504,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9112927953 -47.9487364497  36.8164301555  48.2746821461
 -42.3818608965]"
3459,3.938985346045792,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9112971328 -47.9488155919  36.8164362616  48.2746766626
 -42.3818586571]"
3460,3.938652387122753,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9112992865 -47.9488549068  36.8164393213  48.2746738896
 -42.3818575634]"
3461,3.9381875440883367,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9113052963 -47.9489656533  36.816447697   48.274666363
 -42.3818543699]"
3462,3.9378578480544655,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9113195144 -47.9492276644  36.81646739    48.2746487712
 -42.381846731 ]"
3463,3.9373887870712245,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9113268264 -47.9493629534  36.8164774498  48.2746398047
 -42.3818427402]"
3464,3.9370817561191123,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9113372604 -47.9495565198  36.8164916973  48.2746271612
 -42.3818369577]"
3465,3.9366868732922176,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.911352975  -47.949847326   36.8165132303  48.2746080403
 -42.3818283197]"
3466,3.9360098490458526,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9113809769 -47.9503651134  36.8165516351  48.2745739364
 -42.381812962 ]"
3467,3.9355367714727643,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9114057564 -47.9508226507  36.8165856945  48.2745436764
 -42.3817994393]"
3468,3.934807758837784,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9114297622 -47.9512657978  36.8166186775  48.2745143922
 -42.3817863319]"
3469,3.934149759121805,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9114493078 -47.9516256765  36.8166456144  48.2744904741
 -42.3817757396]"
3470,3.9335855794469565,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9114647132 -47.9519086548  36.8166668944  48.2744715867
 -42.3817674409]"
3471,3.9329826680916273,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9114889701 -47.9523545741  36.8167003464  48.2744419177
 -42.3817543269]"
3472,3.93253574570923,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9115065322 -47.9526769992  36.8167245796  48.2744204455
 -42.381744851 ]"
3473,3.9322951118956726,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9115057676 -47.9526629921  36.8167235042  48.274421414
 -42.3817452481]"
3474,3.9319425995739934,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.911511551  -47.9527695489  36.8167314175  48.2744144332
 -42.3817420706]"
3475,3.93163173223355,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9115225584 -47.9529718065  36.8167465669  48.2744010317
 -42.381736099 ]"
3476,3.9314003913606834,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9115337151 -47.9531763498  36.8167619579  48.2743874189
 -42.3817300825]"
3477,3.9310736676267712,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.911551519  -47.9535032281  36.8167865111  48.2743656742
 -42.3817204655]"
3478,3.9309059638743395,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9115588578 -47.9536376346  36.8167966609  48.2743566847
 -42.3817165295]"
3479,3.930553158186175,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9115733962 -47.9539034423  36.8168168018  48.2743388517
 -42.3817087655]"
3480,3.930133802160881,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9115901639 -47.9542094949  36.8168400654  48.2743182624
 -42.3816998463]"
3481,3.9298348039244893,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9116131414 -47.95462765    36.8168720302  48.2742899918
 -42.3816877102]"
3482,3.9293986996219457,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.911613304  -47.9546306575  36.8168722536  48.2742897932
 -42.3816876208]"
3483,3.9292412340233818,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9116114784 -47.9545968885  36.816869754   48.2742920107
 -42.3816886242]"
3484,3.9290905280803754,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9116120184 -47.9546061563  36.8168705516  48.2742913075
 -42.3816883827]"
3485,3.928756988860708,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9116165611 -47.9546878942  36.816876966   48.2742856232
 -42.381686068 ]"
3486,3.928240887132711,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9116488863 -47.9552771466  36.8169219645  48.2742457288
 -42.3816689881]"
3487,3.9275840726701894,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.911659021  -47.955460587   36.8169362025  48.2742330921
 -42.381663751 ]"
3488,3.9271070648764503,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9116738367 -47.9557306849  36.816956847   48.2742147702
 -42.3816559363]"
3489,3.9265532368658795,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9116996228 -47.9562013136  36.8169927305  48.2741829246
 -42.3816422903]"
3490,3.925930110153665,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9117289808 -47.9567369404  36.817033607   48.2741466438
 -42.3816267728]"
3491,3.9247838592341493,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9117765196 -47.9576034466  36.8170999083  48.2740877669
 -42.3816017363]"
3492,3.9241723148384113,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9118111152 -47.958233905   36.8171481717  48.2740449064
 -42.3815835284]"
3493,3.923471148442653,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9118313414 -47.958601733   36.8171764855  48.27401974
 -42.3815729632]"
