Iteration,RMS_px,Parameters
33,8.879632369503241,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055343069 -47.7141659642  36.7966972405  48.2863836483
 -42.3902990786]"
34,8.875457512665934,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055339119 -47.7141664559  36.7966968926  48.2863834867
 -42.3902988217]"
35,8.87281814329047,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055335177 -47.7141669415  36.7966965507  48.2863833301
 -42.3902985653]"
36,8.866868015698,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055321748 -47.7141685864  36.7966954014  48.2863828123
 -42.3902976867]"
37,8.861478684792472,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055308797 -47.7141701665  36.7966942991  48.2863823212
 -42.3902968376]"
38,8.85817512437665,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055305322 -47.71417058    36.7966940122  48.286382201
 -42.3902966087]"
39,8.854509253789018,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055298935 -47.7141713401  36.7966934884  48.2863819854
 -42.3902961854]"
40,8.85060472989127,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055288579 -47.7141725931  36.7966926254  48.2863816227
 -42.390295496 ]"
41,8.845200234973445,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055278592 -47.7141738013  36.796691792   48.2863812699
 -42.3902948333]"
42,8.834835239371582,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055240781 -47.7141783551  36.796688658   48.2863799468
 -42.3902923306]"
43,8.828397208143679,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055225182 -47.7141802338  36.7966873593  48.2863793946
 -42.3902913023]"
44,8.824880530752068,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055228291 -47.71417985    36.7966876234  48.2863795084
 -42.3902915114]"
45,8.816277646170931,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055225361 -47.7141801612  36.7966874049  48.2863794239
 -42.3902913345]"
46,8.808656940432828,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055199216 -47.7141832494  36.796685262   48.2863785292
 -42.3902896338]"
47,8.801815403764024,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055172105 -47.7141864459  36.7966830392  48.2863775968
 -42.3902878767]"
48,8.798346477736416,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055155867 -47.7141883798  36.7966816934  48.286377023
 -42.3902868207]"
49,8.79275800412292,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055132914 -47.7141910975  36.796679789   48.2863761967
 -42.3902853489]"
50,8.785160043586531,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055100622 -47.7141948902  36.7966771112  48.2863750175
 -42.3902833099]"
51,8.7766954161947,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055056502 -47.7142000487  36.7966734511  48.2863733883
 -42.3902805531]"
52,8.76791383773792,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.90550432   -47.7142015695  36.7966723466  48.2863728724
 -42.3902797629]"
53,8.758930536911842,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055029234 -47.7142031495  36.7966711834  48.2863723096
 -42.3902789597]"
54,8.753747962154861,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9055015802 -47.7142047103  36.7966700607  48.2863717847
 -42.3902781488]"
55,8.746275731001882,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9054989983 -47.7142077537  36.7966679064  48.2863708119
 -42.3902765357]"
56,8.735952105030929,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9054889535 -47.7142196609  36.7966595355  48.2863670743
 -42.3902701796]"
57,8.724272911622169,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9054849266 -47.7142244463  36.7966561736  48.2863655605
 -42.3902676356]"
58,8.718646440904001,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.905484658  -47.7142247842  36.7966559482  48.2863654584
 -42.3902674552]"
59,8.70103349264056,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9054803841 -47.7142299256  36.796652373   48.2863638289
 -42.3902647374]"
